field_name,paper_count
Computer science,27
Medicine,22
Psychology,11
History,9
Philosophy,5
Political science,5
Environmental science,4
Mathematics,4
Sociology,4
Materials science,4
Art,3
Geology,3
Business,2
Library science,2
Geography,2
Cell biology,2
Physics,1
Environmental ethics,1
Gerontology,1
Biology,1
Economics,1
Traditional medicine,1
Cancer research,1
Law,1
Mechanics,1
Humanities,1
